County,Region,State,Above or Below?,Avg. Adult Obesity (% of pop),Avg. Adult Smokers (% of pop),Avg. Food Insecure (% of pop),Avg. Physically Inactive (% of pop),Avg. Regional Obesity Rate,Latitude (generated),Longitude (generated)
Merrimack,Northeast,New Hampshire,1% below,29%,16%,10%,20%,30%,43.3128,-71.686
Jefferson,Northeast,Pennsylvania,1% below,29%,22%,14%,30%,30%,41.1414,-79.005
Caledonia,Northeast,Vermont,1% below,29%,15%,14%,21%,30%,44.4632,-72.1084
Jasper,Northeast,Indiana,1% below,29%,18%,12%,29%,30%,41.0105,-87.1034
Luzerne,Northeast,Pennsylvania,1% below,29%,18%,15%,30%,30%,41.1656,-75.9546
Gloucester,Northeast,New Jersey,1% below,29%,15%,12%,25%,30%,39.6999,-75.1442
Franklin,Northeast,Ohio,1% below,29%,19%,18%,23%,30%,39.9693,-83.013
Cambria,Northeast,Pennsylvania,1% below,29%,20%,14%,26%,30%,40.485,-78.7333
Summit,Northeast,Ohio,1% below,29%,20%,17%,24%,30%,41.1313,-81.5397
Philadelphia,Northeast,Pennsylvania,1% below,29%,23%,21%,26%,30%,40.0048,-75.1385
Kent,Northeast,Michigan,1% below,29%,16%,13%,20%,30%,43.0341,-85.5504
Oswego,Northeast,New York,1% below,29%,16%,14%,27%,30%,43.4316,-76.2142
Mason,Northeast,Michigan,1% below,29%,18%,15%,24%,30%,43.9975,-86.2606
Licking,Northeast,Ohio,1% below,29%,18%,14%,29%,30%,40.0935,-82.4778
Clermont,Northeast,Ohio,1% below,29%,19%,13%,26%,30%,39.0193,-84.1685
Marquette,Northeast,Michigan,1% below,29%,19%,15%,17%,30%,46.4541,-87.6166
Wayne,Northeast,New York,1% below,29%,15%,11%,26%,30%,43.1793,-77.0416
Madison,Northeast,New York,1% below,29%,15%,12%,26%,30%,42.9545,-75.7265
Waldo,Northeast,Maine,1% below,29%,16%,16%,25%,30%,44.5028,-69.0953
Lancaster,Northeast,Pennsylvania,1% below,29%,17%,11%,21%,30%,40.0187,-76.2339
Pike,Northeast,Pennsylvania,1% below,29%,17%,11%,22%,30%,41.3416,-75.0513
Union,Northeast,Pennsylvania,1% below,29%,18%,13%,26%,30%,40.9777,-77.0484
Harrison,Northeast,Ohio,1% below,29%,20%,16%,29%,30%,40.2967,-81.1052
Ontario,Northeast,New York,on par with,30%,14%,11%,17%,30%,42.808,-77.2821
Genesee,Northeast,New York,on par with,30%,15%,12%,26%,30%,43.0001,-78.1865
Steuben,Northeast,New York,on par with,30%,16%,14%,23%,30%,42.2995,-77.4184
Huntingdon,Northeast,Pennsylvania,on par with,30%,20%,14%,27%,30%,40.4023,-78.0489
Greene,Northeast,New York,on par with,30%,15%,13%,25%,30%,42.2823,-74.1308
Clinton,Northeast,New York,on par with,30%,16%,14%,27%,30%,44.7224,-73.6768
Ingham,Northeast,Michigan,on par with,30%,18%,17%,19%,30%,42.5982,-84.3736
Hendricks,Northeast,Indiana,on par with,30%,16%,11%,29%,30%,39.7622,-86.5068
Franklin,Northeast,Maine,on par with,30%,17%,16%,22%,30%,45.0569,-70.4637
Calvert,Northeast,Maryland,on par with,30%,14%,8%,23%,30%,38.5432,-76.5914
Worcester,Northeast,Maryland,on par with,30%,15%,14%,27%,30%,38.2234,-75.4131
Washington,Northeast,New York,on par with,30%,15%,12%,24%,30%,43.376,-73.4303
Chautauqua,Northeast,New York,on par with,30%,16%,14%,26%,30%,42.2858,-79.3876
Herkimer,Northeast,New York,on par with,30%,16%,13%,23%,30%,43.4652,-74.9411
Allegany,Northeast,New York,on par with,30%,16%,13%,22%,30%,42.2585,-78.0236
Strafford,Northeast,New Hampshire,on par with,30%,17%,11%,23%,30%,43.3285,-71.0587
Franklin,Northeast,New York,on par with,30%,18%,15%,26%,30%,44.5612,-74.2572
Gogebic,Northeast,Michigan,on par with,30%,19%,17%,24%,30%,46.4324,-89.7644
Livingston,Northeast,New York,on par with,30%,15%,12%,24%,30%,42.7304,-77.7813
Kalamazoo,Northeast,Michigan,on par with,30%,16%,16%,19%,30%,42.2469,-85.5315
Orleans,Northeast,Vermont,on par with,30%,18%,14%,25%,30%,44.7761,-72.2585
Lorain,Northeast,Ohio,on par with,30%,18%,15%,23%,30%,41.2889,-82.1103
Paulding,Northeast,Ohio,on par with,30%,19%,14%,26%,30%,41.1216,-84.5727
Lycoming,Northeast,Pennsylvania,on par with,30%,20%,14%,25%,30%,41.3309,-77.0538
Decatur,Northeast,Indiana,on par with,30%,21%,14%,32%,30%,39.2866,-85.4915
Isabella,Northeast,Michigan,on par with,30%,22%,18%,22%,30%,43.6469,-84.8472
Schuyler,Northeast,New York,on par with,30%,15%,12%,27%,30%,42.3922,-76.8958
Franklin,Northeast,Pennsylvania,on par with,30%,19%,12%,27%,30%,40.0059,-77.7068
Dearborn,Northeast,Indiana,on par with,30%,19%,13%,31%,30%,39.1215,-84.9602
Lackawanna,Northeast,Pennsylvania,on par with,30%,20%,14%,25%,30%,41.4017,-75.6407
Clinton,Northeast,Indiana,on par with,30%,20%,13%,32%,30%,40.3086,-86.4691
Coos,Northeast,New Hampshire,on par with,30%,19%,13%,26%,30%,44.6987,-71.3169
Schoolcraft,Northeast,Michigan,on par with,30%,19%,17%,25%,30%,46.1369,-86.1775
Butler,Northeast,Ohio,on par with,30%,20%,15%,25%,30%,39.444,-84.5771
Ashland,Northeast,Ohio,on par with,30%,20%,15%,29%,30%,40.8114,-82.2674
Niagara,Northeast,New York,on par with,30%,16%,13%,22%,30%,43.1973,-78.7555
Kosciusko,Northeast,Indiana,on par with,30%,19%,12%,23%,30%,41.2387,-85.8534
Henry,Northeast,Ohio,on par with,30%,19%,13%,26%,30%,41.3226,-84.0553
Hancock,Northeast,Ohio,on par with,30%,19%,14%,23%,30%,41,-83.6505
Cayuga,Northeast,New York,on par with,30%,15%,12%,23%,30%,43.0195,-76.6022
St. Mary's,Northeast,Maryland,on par with,30%,15%,10%,24%,30%,38.2752,-76.5122
Dickinson,Northeast,Michigan,on par with,30%,17%,13%,20%,30%,45.9809,-87.8673
Adams,Northeast,Indiana,on par with,30%,21%,14%,31%,30%,40.7462,-84.9366
Oneida,Northeast,New York,on par with,30%,16%,14%,28%,30%,43.2406,-75.4975
Lapeer,Northeast,Michigan,on par with,30%,17%,13%,23%,30%,43.1028,-83.2261
Beaver,Northeast,Pennsylvania,on par with,30%,19%,13%,28%,30%,40.6657,-80.3336
Perry,Northeast,Indiana,on par with,30%,20%,13%,26%,30%,38.0538,-86.6108
Clark,Northeast,Ohio,on par with,30%,20%,17%,28%,30%,39.9034,-83.798
Kennebec,Northeast,Maine,on par with,30%,21%,15%,21%,30%,44.4146,-69.7897
Tuscola,Northeast,Michigan,1% above,31%,17%,15%,30%,30%,43.4682,-83.4035
Darke,Northeast,Ohio,1% above,31%,19%,14%,34%,30%,40.1341,-84.6194
Wexford,Northeast,Michigan,1% above,31%,19%,17%,23%,30%,44.3357,-85.5789
Orleans,Northeast,New York,1% above,31%,16%,13%,24%,30%,43.2522,-78.2296
Ottawa,Northeast,Ohio,1% above,31%,17%,14%,30%,30%,41.5403,-83.2077
Wood,Northeast,Ohio,1% above,31%,18%,15%,23%,30%,41.3911,-83.6498
Fountain,Northeast,Indiana,1% above,31%,19%,15%,31%,30%,40.1604,-87.2644
Porter,Northeast,Indiana,1% above,31%,19%,12%,27%,30%,41.4674,-87.0746
Floyd,Northeast,Indiana,1% above,31%,20%,14%,32%,30%,38.2987,-85.8932
Mahoning,Northeast,Ohio,1% above,31%,20%,17%,29%,30%,41.0189,-80.7594
Wayne,Northeast,Indiana,1% above,31%,22%,18%,29%,30%,39.8599,-85.0169
Garrett,Northeast,Maryland,1% above,31%,15%,12%,30%,30%,39.463,-79.2891
Seneca,Northeast,New York,1% above,31%,15%,12%,25%,30%,42.7838,-76.8577
Sullivan,Northeast,New York,1% above,31%,16%,14%,23%,30%,41.7194,-74.7908
Alcona,Northeast,Michigan,1% above,31%,16%,15%,26%,30%,44.6843,-83.5837
Belknap,Northeast,New Hampshire,1% above,31%,16%,10%,22%,30%,43.5256,-71.4326
Dauphin,Northeast,Pennsylvania,1% above,31%,19%,14%,24%,30%,40.3906,-76.8372
Erie,Northeast,Pennsylvania,1% above,31%,22%,15%,26%,30%,42.0598,-80.0158
Ashtabula,Northeast,Ohio,1% above,31%,22%,17%,26%,30%,41.7343,-80.7618
Stark,Northeast,Ohio,1% above,31%,19%,16%,26%,30%,40.8122,-81.3675
Berks,Northeast,Pennsylvania,1% above,31%,20%,11%,25%,30%,40.4065,-75.9294
Benzie,Northeast,Michigan,1% above,31%,16%,14%,21%,30%,44.6464,-86.0352
Iron,Northeast,Michigan,1% above,31%,16%,14%,20%,30%,46.1619,-88.5543
Washington,Northeast,Maine,1% above,31%,19%,18%,28%,30%,45.0452,-67.5514
Vermillion,Northeast,Indiana,1% above,31%,20%,16%,31%,30%,39.8784,-87.4557
Brown,Northeast,Indiana,1% above,31%,20%,13%,29%,30%,39.1969,-86.2264
Switzerland,Northeast,Indiana,1% above,31%,23%,15%,33%,30%,38.8084,-85.0112
Penobscot,Northeast,Maine,1% above,31%,17%,17%,25%,30%,45.5258,-68.4345
Houghton,Northeast,Michigan,1% above,31%,18%,17%,22%,30%,46.8547,-88.7422
Tioga,Northeast,Pennsylvania,1% above,31%,20%,14%,27%,30%,41.7702,-77.2503
Montgomery,Northeast,Ohio,1% above,31%,21%,19%,26%,30%,39.7534,-84.2913
Huron,Northeast,Michigan,1% above,31%,16%,14%,28%,30%,43.8695,-83.0013
Fairfield,Northeast,Ohio,1% above,31%,18%,14%,27%,30%,39.7574,-82.6153
Lebanon,Northeast,Pennsylvania,1% above,31%,18%,11%,22%,30%,40.3762,-76.4439
DeKalb,Northeast,Indiana,1% above,31%,20%,13%,28%,30%,41.4015,-84.9986
Clark,Northeast,Indiana,1% above,31%,20%,14%,34%,30%,38.4373,-85.8012
McKean,Northeast,Pennsylvania,1% above,31%,21%,14%,26%,30%,41.8025,-78.5774
Sussex,Northeast,Delaware,1% above,31%,17%,11%,27%,30%,38.7069,-75.3935
Wabash,Northeast,Indiana,1% above,31%,19%,14%,36%,30%,40.8493,-85.7919
Logan,Northeast,Ohio,1% above,31%,20%,15%,28%,30%,40.3861,-83.7694
Clare,Northeast,Michigan,1% above,31%,20%,18%,30%,30%,43.9892,-84.847
Pike,Northeast,Ohio,1% above,31%,24%,19%,26%,30%,39.0768,-83.088
Vinton,Northeast,Ohio,1% above,31%,23%,18%,30%,30%,39.2122,-82.5151
Gallia,Northeast,Ohio,1% above,31%,23%,16%,32%,30%,38.8091,-82.3889
Piscataquis,Northeast,Maine,1% above,31%,19%,17%,26%,30%,45.798,-69.2708
Erie,Northeast,Ohio,1% above,31%,20%,16%,25%,30%,41.3813,-82.671
Tioga,Northeast,New York,2% above,32%,14%,11%,27%,30%,42.2046,-76.3107
Tipton,Northeast,Indiana,2% above,32%,18%,13%,31%,30%,40.3095,-86.0521
Miami,Northeast,Ohio,2% above,32%,19%,15%,27%,30%,40.0366,-84.2325
Defiance,Northeast,Ohio,2% above,32%,19%,13%,30%,30%,41.2973,-84.5157
Putnam,Northeast,Indiana,2% above,32%,20%,13%,31%,30%,39.6666,-86.8498
Shelby,Northeast,Indiana,2% above,32%,21%,14%,31%,30%,39.5242,-85.7912
Clinton,Northeast,Pennsylvania,2% above,32%,21%,15%,25%,30%,41.2215,-77.6231
Crawford,Northeast,Michigan,2% above,32%,17%,15%,24%,30%,44.679,-84.6107
Roscommon,Northeast,Michigan,2% above,32%,19%,17%,25%,30%,44.3421,-84.612
Keweenaw,Northeast,Michigan,2% above,32%,16%,16%,23%,30%,47.3413,-88.198
Midland,Northeast,Michigan,2% above,32%,16%,13%,23%,30%,43.6591,-84.3874
Antrim,Northeast,Michigan,2% above,32%,16%,15%,25%,30%,45.011,-85.1136
Oxford,Northeast,Maine,2% above,32%,17%,16%,23%,30%,44.5715,-70.6599
Posey,Northeast,Indiana,2% above,32%,18%,12%,29%,30%,38.0025,-87.8613
Knox,Northeast,Indiana,2% above,32%,20%,15%,34%,30%,38.662,-87.4295
Union,Northeast,Indiana,2% above,32%,20%,14%,34%,30%,39.6256,-84.925
Delaware,Northeast,Indiana,2% above,32%,23%,18%,31%,30%,40.2284,-85.3965
Cecil,Northeast,Maryland,2% above,32%,16%,11%,26%,30%,39.5427,-75.9237
Montmorency,Northeast,Michigan,2% above,32%,17%,17%,26%,30%,45.0287,-84.1298
Mifflin,Northeast,Pennsylvania,2% above,32%,21%,14%,27%,30%,40.6034,-77.6476
Orange,Northeast,Indiana,2% above,32%,21%,16%,32%,30%,38.5438,-86.4952
Parke,Northeast,Indiana,2% above,32%,22%,14%,33%,30%,39.7787,-87.1924
Chemung,Northeast,New York,2% above,32%,16%,14%,25%,30%,42.1465,-76.7623
St. Clair,Northeast,Michigan,2% above,32%,17%,15%,24%,30%,42.8312,-82.6054
York,Northeast,Pennsylvania,2% above,32%,18%,12%,23%,30%,39.9734,-76.7442
Pulaski,Northeast,Indiana,2% above,32%,21%,13%,30%,30%,41.041,-86.6992
Fayette,Northeast,Indiana,2% above,32%,23%,18%,35%,30%,39.6562,-85.1677
Ohio,Northeast,Indiana,2% above,32%,19%,13%,28%,30%,38.9655,-84.9412
Salem,Northeast,New Jersey,2% above,32%,19%,14%,28%,30%,39.5844,-75.3039
Henry,Northeast,Indiana,2% above,32%,22%,16%,30%,30%,39.9332,-85.3884
Cheboygan,Northeast,Michigan,2% above,32%,18%,16%,27%,30%,45.4927,-84.4897
Crawford,Northeast,Ohio,2% above,32%,18%,16%,31%,30%,40.8562,-82.9186
Susquehanna,Northeast,Pennsylvania,2% above,32%,18%,12%,24%,30%,41.8146,-75.8006
Gibson,Northeast,Indiana,2% above,32%,19%,13%,35%,30%,38.3499,-87.5678
Marion,Northeast,Indiana,2% above,32%,22%,19%,27%,30%,39.7798,-86.1394
Adams,Northeast,Pennsylvania,2% above,32%,17%,10%,24%,30%,39.8953,-77.2259
Shiawassee,Northeast,Michigan,2% above,32%,17%,15%,21%,30%,42.9544,-84.1478
Montour,Northeast,Pennsylvania,2% above,32%,17%,11%,24%,30%,41.0278,-76.6629
Sullivan,Northeast,Pennsylvania,2% above,32%,18%,13%,32%,30%,41.4228,-76.5103
Union,Northeast,Ohio,2% above,32%,18%,12%,27%,30%,40.306,-83.3961
Kalkaska,Northeast,Michigan,2% above,32%,19%,15%,23%,30%,44.6868,-85.0916
Hillsdale,Northeast,Michigan,2% above,32%,19%,15%,25%,30%,41.891,-84.5935
Ripley,Northeast,Indiana,2% above,32%,20%,14%,28%,30%,39.112,-85.2718
Columbiana,Northeast,Ohio,2% above,32%,21%,16%,31%,30%,40.7609,-80.8031
Huntington,Northeast,Indiana,2% above,32%,22%,14%,29%,30%,40.8297,-85.4885
Alger,Northeast,Michigan,2% above,32%,17%,15%,24%,30%,46.425,-86.8882
Allegan,Northeast,Michigan,2% above,32%,17%,12%,23%,30%,42.5942,-85.8847
Whitley,Northeast,Indiana,2% above,32%,18%,12%,24%,30%,41.1483,-85.5122
Bartholomew,Northeast,Indiana,2% above,32%,19%,13%,27%,30%,39.1949,-85.8843
Shelby,Northeast,Ohio,2% above,32%,19%,14%,26%,30%,40.3332,-84.2192
Johnson,Northeast,Indiana,2% above,32%,19%,13%,25%,30%,39.4828,-86.1012
Preble,Northeast,Ohio,2% above,32%,19%,14%,28%,30%,39.7357,-84.648
Androscoggin,Northeast,Maine,2% above,32%,18%,16%,24%,30%,44.1975,-70.2021
Sandusky,Northeast,Ohio,2% above,32%,20%,14%,33%,30%,41.3799,-83.1309
Potter,Northeast,Pennsylvania,2% above,32%,20%,14%,30%,30%,41.7403,-77.9042
Greene,Northeast,Indiana,2% above,32%,20%,15%,30%,30%,39.0348,-86.9615
Lucas,Northeast,Ohio,2% above,32%,20%,19%,27%,30%,41.5756,-83.7457
Fayette,Northeast,Ohio,2% above,32%,21%,17%,31%,30%,39.5464,-83.4341
Owen,Northeast,Indiana,2% above,32%,22%,15%,30%,30%,39.3203,-86.8697
Lenawee,Northeast,Michigan,3% above,33%,16%,13%,25%,30%,41.8957,-84.0658
Lawrence,Northeast,Pennsylvania,3% above,33%,19%,14%,25%,30%,40.9905,-80.3418
Macomb,Northeast,Michigan,3% above,33%,20%,14%,23%,30%,42.6525,-82.8989
Elkhart,Northeast,Indiana,3% above,33%,20%,14%,29%,30%,41.5984,-85.8585
Clay,Northeast,Indiana,3% above,33%,20%,15%,27%,30%,39.3825,-87.091
Muskingum,Northeast,Ohio,3% above,33%,22%,18%,35%,30%,39.9623,-81.9624
Presque Isle,Northeast,Michigan,3% above,33%,16%,16%,30%,30%,45.4127,-84.0168
Snyder,Northeast,Pennsylvania,3% above,33%,19%,13%,25%,30%,40.7631,-77.1066
Mackinac,Northeast,Michigan,3% above,33%,19%,16%,24%,30%,46.0418,-84.9015
Rush,Northeast,Indiana,3% above,33%,20%,14%,35%,30%,39.6214,-85.4664
Clinton,Northeast,Michigan,3% above,33%,16%,11%,21%,30%,42.942,-84.6016
Bradford,Northeast,Pennsylvania,3% above,33%,19%,13%,25%,30%,41.7731,-76.5107
Benton,Northeast,Indiana,3% above,33%,21%,13%,33%,30%,40.6037,-87.3111
Chenango,Northeast,New York,3% above,33%,15%,12%,27%,30%,42.4711,-75.6351
Fulton,Northeast,Ohio,3% above,33%,18%,13%,27%,30%,41.6027,-84.1318
Wyoming,Northeast,Pennsylvania,3% above,33%,19%,13%,26%,30%,41.5143,-76.007
Wayne,Northeast,Pennsylvania,3% above,33%,20%,12%,24%,30%,41.6172,-75.2609
Prince George's,Northeast,Maryland,3% above,33%,13%,15%,24%,30%,38.8356,-76.8411
Perry,Northeast,Pennsylvania,3% above,33%,18%,11%,29%,30%,40.407,-77.2688
Alpena,Northeast,Michigan,3% above,33%,19%,15%,22%,30%,45.032,-83.6662
Fulton,Northeast,Pennsylvania,3% above,33%,19%,13%,27%,30%,39.9433,-78.0937
Noble,Northeast,Ohio,3% above,33%,20%,16%,35%,30%,39.7635,-81.5073
Lake,Northeast,Michigan,3% above,33%,21%,19%,22%,30%,43.9949,-85.8016
Clearfield,Northeast,Pennsylvania,3% above,33%,21%,14%,27%,30%,40.9898,-78.444
Greene,Northeast,Pennsylvania,3% above,33%,21%,13%,31%,30%,39.871,-80.2239
Vigo,Northeast,Indiana,3% above,33%,24%,18%,30%,30%,39.435,-87.3855
Warren,Northeast,Pennsylvania,3% above,33%,18%,12%,22%,30%,41.7989,-79.2812
Richland,Northeast,Ohio,3% above,33%,20%,17%,29%,30%,40.774,-82.5525
Clarion,Northeast,Pennsylvania,3% above,33%,20%,15%,26%,30%,41.2028,-79.4375
Trumbull,Northeast,Ohio,3% above,33%,20%,17%,29%,30%,41.3199,-80.7604
Sullivan,Northeast,Indiana,3% above,33%,22%,17%,35%,30%,39.0809,-87.4202
Belmont,Northeast,Ohio,3% above,33%,21%,15%,33%,30%,40.0117,-80.9866
Delta,Northeast,Michigan,3% above,33%,18%,15%,24%,30%,45.8554,-87.1712
Kent,Northeast,Delaware,3% above,33%,18%,13%,28%,30%,39.0975,-75.5721
Mecosta,Northeast,Michigan,3% above,33%,19%,17%,26%,30%,43.641,-85.3244
Juniata,Northeast,Pennsylvania,3% above,33%,19%,12%,26%,30%,40.4791,-77.5026
Washington,Northeast,Ohio,3% above,33%,21%,15%,34%,30%,39.4311,-81.5158
Putnam,Northeast,Ohio,3% above,33%,17%,11%,27%,30%,41.0154,-84.1114
Jackson,Northeast,Michigan,3% above,33%,20%,15%,21%,30%,42.2474,-84.4239
Daviess,Northeast,Indiana,3% above,33%,21%,13%,32%,30%,38.6977,-87.0972
Morgan,Northeast,Ohio,3% above,33%,21%,18%,28%,30%,39.6104,-81.811
Forest,Northeast,Pennsylvania,3% above,33%,22%,15%,23%,30%,41.4862,-79.2354
Washington,Northeast,Maryland,3% above,33%,17%,13%,27%,30%,39.5209,-77.7203
Dorchester,Northeast,Maryland,3% above,33%,17%,17%,31%,30%,38.461,-76.0567
Bay,Northeast,Michigan,3% above,33%,18%,14%,24%,30%,43.7384,-84.0552
Missaukee,Northeast,Michigan,3% above,33%,19%,16%,26%,30%,44.3375,-85.0957
Oscoda,Northeast,Michigan,3% above,33%,19%,18%,23%,30%,44.6802,-84.1299
Armstrong,Northeast,Pennsylvania,3% above,33%,20%,13%,29%,30%,40.8485,-79.4535
Jennings,Northeast,Indiana,3% above,33%,21%,15%,32%,30%,39.0071,-85.621
Mercer,Northeast,Pennsylvania,3% above,33%,22%,14%,27%,30%,41.279,-80.2594
Iosco,Northeast,Michigan,4% above,34%,17%,17%,24%,30%,44.3368,-83.6086
Monroe,Northeast,Michigan,4% above,34%,18%,13%,22%,30%,41.908,-83.5514
Huron,Northeast,Ohio,4% above,34%,18%,16%,33%,30%,41.1391,-82.588
Montgomery,Northeast,Indiana,4% above,34%,21%,14%,27%,30%,40.0431,-86.894
Wayne,Northeast,Michigan,4% above,34%,22%,21%,26%,30%,42.2433,-83.3345
Arenac,Northeast,Michigan,4% above,34%,18%,16%,24%,30%,44.0369,-83.9226
Cumberland,Northeast,New Jersey,4% above,34%,19%,15%,28%,30%,39.3728,-75.124
Steuben,Northeast,Indiana,4% above,34%,20%,13%,30%,30%,41.6431,-85.0003
Jefferson,Northeast,Ohio,4% above,34%,21%,17%,29%,30%,40.3772,-80.7422
Barry,Northeast,Michigan,4% above,34%,17%,12%,22%,30%,42.595,-85.3093
Morgan,Northeast,Indiana,4% above,34%,19%,13%,30%,30%,39.4884,-86.4692
Van Buren,Northeast,Michigan,4% above,34%,19%,14%,26%,30%,42.2457,-86.0643
LaPorte,Northeast,Indiana,4% above,34%,20%,16%,28%,30%,41.506,-86.7274
Coshocton,Northeast,Ohio,4% above,34%,21%,17%,28%,30%,40.3057,-81.9055
Highland,Northeast,Ohio,4% above,34%,22%,18%,29%,30%,39.2048,-83.6091
Montcalm,Northeast,Michigan,4% above,34%,19%,16%,25%,30%,43.2932,-85.079
Blair,Northeast,Pennsylvania,4% above,34%,20%,13%,29%,30%,40.4934,-78.3483
Randolph,Northeast,Indiana,4% above,34%,20%,15%,32%,30%,40.1599,-85.0115
Allen,Northeast,Ohio,4% above,34%,21%,17%,32%,30%,40.7849,-84.1386
Aroostook,Northeast,Maine,4% above,34%,19%,17%,28%,30%,46.5366,-68.304
Osceola,Northeast,Michigan,4% above,34%,20%,17%,28%,30%,43.989,-85.3253
Somerset,Northeast,Maine,4% above,34%,21%,17%,28%,30%,45.5842,-70.1228
Marion,Northeast,Ohio,4% above,34%,22%,17%,33%,30%,40.5706,-83.1883
Madison,Northeast,Indiana,4% above,34%,22%,17%,28%,30%,40.1589,-85.7193
Pike,Northeast,Indiana,4% above,34%,19%,13%,32%,30%,38.3898,-87.2403
Noble,Northeast,Indiana,4% above,34%,20%,13%,27%,30%,41.402,-85.4233
Venango,Northeast,Pennsylvania,4% above,34%,20%,14%,26%,30%,41.4008,-79.7389
Northumberland,Northeast,Pennsylvania,4% above,34%,21%,14%,28%,30%,40.8903,-76.6908
Hocking,Northeast,Ohio,4% above,34%,21%,15%,29%,30%,39.5117,-82.4497
White,Northeast,Indiana,4% above,34%,19%,12%,28%,30%,40.7372,-86.9234
Oceana,Northeast,Michigan,4% above,34%,19%,14%,22%,30%,43.6446,-86.2899
Crawford,Northeast,Pennsylvania,4% above,34%,20%,14%,29%,30%,41.6678,-80.0661
Williams,Northeast,Ohio,4% above,34%,20%,14%,30%,30%,41.569,-84.593
LaGrange,Northeast,Indiana,4% above,34%,22%,13%,27%,30%,41.6374,-85.426
Manistee,Northeast,Michigan,4% above,34%,18%,15%,21%,30%,44.3411,-86.0462
Caroline,Northeast,Maryland,4% above,34%,18%,13%,31%,30%,38.8895,-75.8358
Baraga,Northeast,Michigan,4% above,34%,19%,18%,22%,30%,46.7009,-88.3348
St. Joseph,Northeast,Michigan,4% above,34%,19%,14%,29%,30%,41.9159,-85.5264
Knox,Northeast,Ohio,4% above,34%,20%,15%,23%,30%,40.4047,-82.4144
Vanderburgh,Northeast,Indiana,4% above,34%,20%,16%,29%,30%,37.9993,-87.5741
Hardin,Northeast,Ohio,4% above,34%,21%,16%,32%,30%,40.6579,-83.65
Baltimore City,Northeast,Maryland,4% above,34%,21%,23%,29%,30%,39.304,-76.6204
Cass,Northeast,Indiana,4% above,34%,22%,13%,30%,30%,40.7369,-86.3737
Ontonagon,Northeast,Michigan,4% above,34%,17%,16%,24%,30%,46.6939,-89.364
Menominee,Northeast,Michigan,4% above,34%,17%,13%,29%,30%,45.5419,-87.5359
Sanilac,Northeast,Michigan,4% above,34%,18%,15%,22%,30%,43.4228,-82.8234
Auglaize,Northeast,Ohio,4% above,34%,20%,12%,29%,30%,40.515,-84.2245
Somerset,Northeast,Pennsylvania,5% above,35%,19%,14%,29%,30%,40.0088,-79.0398
Carroll,Northeast,Ohio,5% above,35%,20%,15%,27%,30%,40.5787,-81.0919
Crawford,Northeast,Indiana,5% above,35%,22%,16%,32%,30%,38.2644,-86.4229
Tuscarawas,Northeast,Ohio,5% above,35%,18%,15%,33%,30%,40.4423,-81.4895
Martin,Northeast,Indiana,5% above,35%,21%,13%,34%,30%,38.7056,-86.8034
Meigs,Northeast,Ohio,5% above,35%,23%,19%,33%,30%,39.0398,-82.0571
Eaton,Northeast,Michigan,5% above,35%,16%,13%,25%,30%,42.5931,-84.8387
Calhoun,Northeast,Michigan,5% above,35%,19%,15%,27%,30%,42.2445,-85.0069
Schuylkill,Northeast,Pennsylvania,5% above,35%,20%,14%,29%,30%,40.7235,-76.1529
Harrison,Northeast,Indiana,5% above,35%,20%,13%,32%,30%,38.1907,-86.1341
Hancock,Northeast,Indiana,5% above,35%,18%,12%,29%,30%,39.8222,-85.775
Clinton,Northeast,Ohio,5% above,35%,20%,17%,34%,30%,39.3883,-83.792
Bedford,Northeast,Pennsylvania,5% above,35%,21%,13%,28%,30%,40.0255,-78.483
Wicomico,Northeast,Maryland,5% above,35%,18%,16%,28%,30%,38.3944,-75.5784
Seneca,Northeast,Ohio,5% above,35%,19%,15%,27%,30%,41.1246,-83.1279
Columbia,Northeast,Pennsylvania,5% above,35%,21%,14%,25%,30%,41.0429,-76.3977
Newton,Northeast,Indiana,5% above,35%,22%,13%,33%,30%,40.9788,-87.4012
Charles,Northeast,Maryland,5% above,35%,14%,11%,23%,30%,38.4864,-77.1515
Cass,Northeast,Michigan,5% above,35%,17%,13%,24%,30%,41.9156,-85.9918
Branch,Northeast,Michigan,5% above,35%,19%,14%,26%,30%,41.9159,-85.0588
Jefferson,Northeast,Indiana,5% above,35%,22%,14%,29%,30%,38.7525,-85.4432
Miami,Northeast,Indiana,5% above,35%,23%,16%,31%,30%,40.7805,-86.0549
Wyandot,Northeast,Ohio,5% above,35%,17%,14%,30%,30%,40.8401,-83.314
Jay,Northeast,Indiana,5% above,35%,20%,14%,35%,30%,40.4373,-85.0053
Grant,Northeast,Indiana,5% above,35%,23%,17%,30%,30%,40.5179,-85.655
Newaygo,Northeast,Michigan,5% above,35%,19%,14%,23%,30%,43.5559,-85.8011
Blackford,Northeast,Indiana,6% above,36%,20%,16%,31%,30%,40.4729,-85.3261
Perry,Northeast,Ohio,6% above,36%,21%,17%,31%,30%,39.741,-82.2228
Howard,Northeast,Indiana,6% above,36%,22%,16%,30%,30%,40.4698,-86.1192
Lake,Northeast,Indiana,6% above,36%,24%,16%,30%,30%,41.438,-87.3727
Otsego,Northeast,Michigan,6% above,36%,17%,15%,24%,30%,45.0285,-84.6094
Gladwin,Northeast,Michigan,6% above,36%,19%,17%,30%,30%,43.9866,-84.3862
Luce,Northeast,Michigan,6% above,36%,20%,17%,24%,30%,46.4984,-85.5522
